heat_id,grade_id,source,C,Mn,Cr,Mo,Ni,Si,V,Cu,Al,austenitize_T,quench_medium,temper_T,tensile_strength,yield_strength,elongation,reduction_area,impact_J_avg,condition,hardness,split,data_tier,steel_family
emk_EMK0012_11,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1450.0,899.0,,11.4,,,63.2,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_12,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1415.0,877.3,,12.6,,,63.6,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_13,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1380.0,855.6,,11.9,,,65.6,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_14,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1345.0,833.9,,10.6,,,66.6,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_15,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1275.0,790.5,,6.8,,,65.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_16,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1240.0,768.8,,8.5,,,66.3,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_17,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1170.0,725.4,,19.5,,,63.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_18,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1105.0,685.1,,19.4,,,66.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_19,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1070.0,663.4,,19.3,,,65.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_20,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,1035.0,641.7,,10.2,,,66.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_21,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,965.0,598.3,,26.4,,,63.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_22,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,930.0,576.6,,31.8,,,63.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_23,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,895.0,554.9,,26.9,,,63.2,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0012_24,EMK0012,EMK_spec,0.07,2.0,17.25,2.25,12.0,1.0,0.0,,,1050.0,water,,860.0,533.2,,29.2,,,66.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0014_25,EMK0014,EMK_spec,0.08,2.0,23.0,,13.0,0.75,0.0,,,1050.0,water,,515.0,205.0,40.0,42.6,91.7,,70.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0016_27,EMK0016,EMK_spec,0.25,2.0,25.0,,20.5,1.5,0.0,,,1040.0,air,480.0,515.0,205.0,40.0,44.6,137.8,,70.0,pretrain,emk_spec_verified,stainless_PH
emk_EMK0018_28,EMK0018,EMK_spec,0.08,1.0,12.5,,0.6,1.0,0.0,,,,,,500.0,290.0,27.0,52.9,100.1,,38.0,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0019_29,EMK0019,EMK_spec,0.3,0.975,0.3,0.12,0.4,0.225,0.08,0.4,,900.0,,,415.0,205.0,,38.0,111.1,,70.0,pretrain,emk_spec_verified,carbon_low
emk_EMK0023_30,EMK0023,EMK_spec,0.2,1.0,0.3,0.12,1.92,,0.03,1.0,,870.0,air,620.0,435.0,315.0,,38.0,99.4,,70.0,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0028_32,EMK0028,EMK_spec,0.02,2.0,21.0,4.5,25.5,0.7,0.0,1.6,,1050.0,water,,490.0,220.0,35.0,43.5,148.6,,70.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0029_33,EMK0029,EMK_spec,0.25,2.0,25.0,,20.5,1.5,0.0,,,1040.0,air,480.0,515.0,205.0,40.0,46.7,124.4,,70.0,pretrain,emk_spec_verified,stainless_PH
emk_EMK0030_34,EMK0030,EMK_spec,0.08,2.0,18.0,,11.0,1.0,0.0,,,1050.0,water,,515.0,310.0,55.0,41.0,105.4,,70.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0031_35,EMK0031,EMK_spec,0.12,1.0,17.0,,,1.0,0.0,,,,,,450.0,205.0,22.0,43.6,134.1,,70.0,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0032_36,EMK0032,EMK_spec,0.25,0.81,0.4,0.15,0.4,0.1,0.08,0.4,,900.0,,,330.0,205.0,,42.8,94.5,,19.7,pretrain,emk_spec_verified,carbon_low
emk_EMK0033_37,EMK0033,EMK_spec,0.35,0.97,0.4,0.15,0.4,0.1,0.0,0.4,,840.0,water,550.0,482.6,275.8,,58.4,83.0,,28.2,pretrain,emk_spec_verified,carbon_medium
emk_EMK0037_41,EMK0037,EMK_spec,0.2,2.0,20.0,,12.0,2.0,0.0,,,1040.0,air,480.0,550.0,230.0,30.0,59.6,120.1,,70.0,pretrain,emk_spec_verified,stainless_PH
emk_EMK0040_43,EMK0040,EMK_spec,0.08,2.0,17.0,2.5,12.0,1.0,0.0,,,1050.0,water,,515.0,205.0,40.0,57.5,142.6,,70.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0041_44,EMK0041,EMK_spec,0.15,8.75,18.0,,5.0,1.0,0.0,,,1020.0,water,,620.0,310.0,40.0,50.0,62.5,,42.1,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0044_45,EMK0044,EMK_spec,0.1,1.0,23.0,,60.5,0.5,0.0,1.0,1.35,,,,550.0,205.0,30.0,50.1,111.8,,33.5,pretrain,emk_spec_verified,nickel_superalloy
emk_EMK0047_46,EMK0047,EMK_spec,0.15,2.0,17.0,,7.0,1.0,0.0,,,1050.0,water,,515.0,205.0,40.0,55.3,148.7,,32.3,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0050_47,EMK0050,EMK_spec,0.02,2.0,21.0,4.5,25.5,1.0,0.0,1.5,,1050.0,water,,490.0,215.0,35.0,55.4,90.1,,29.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0052_48,EMK0052,EMK_spec,0.075,0.5,2.4,1.1,,0.3,0.25,1.0,0.03,870.0,air,620.0,620.0,415.0,20.0,25.0,79.7,,70.0,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0053_49,EMK0053,EMK_spec,0.1,0.45,8.75,0.95,0.4,0.35,0.215,,0.02,870.0,air,620.0,585.0,415.0,20.0,43.7,83.1,,70.0,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0054_50,EMK0054,EMK_spec,0.3,0.82,0.4,0.15,0.4,,0.08,0.4,,900.0,,,415.0,240.0,,53.9,86.6,,70.0,pretrain,emk_spec_verified,carbon_low
emk_EMK0055_51,EMK0055,EMK_spec,0.35,0.82,0.4,0.15,0.4,,0.08,0.4,,840.0,water,550.0,485.0,275.0,,48.1,144.2,,70.0,pretrain,emk_spec_verified,carbon_medium
emk_EMK0058_54,EMK0058,EMK_spec,0.3,0.925,0.3,0.12,0.4,0.275,0.08,0.4,,900.0,,,415.0,240.0,,56.8,92.5,,19.6,pretrain,emk_spec_verified,carbon_low
emk_EMK0064_57,EMK0064,EMK_spec,0.2,1.225,0.3,0.25,0.5,0.26,0.1,0.35,0.06,870.0,air,620.0,415.0,290.0,,44.0,147.9,,20.9,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0065_58,EMK0065,EMK_spec,0.2,1.225,0.3,0.25,0.5,0.26,0.1,0.35,0.06,870.0,air,620.0,435.0,315.0,,43.9,108.2,,24.1,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0066_59,EMK0066,EMK_spec,0.2,1.225,0.3,0.25,0.5,0.26,0.1,0.35,0.06,870.0,air,620.0,455.0,360.0,,42.1,146.0,,24.0,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0067_60,EMK0067,EMK_spec,0.2,1.225,0.3,0.25,0.5,0.26,0.1,0.35,0.06,870.0,air,620.0,515.0,415.0,20.0,55.8,93.5,,29.8,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0068_61,EMK0068,EMK_spec,0.2,1.225,0.3,0.25,0.5,0.26,0.1,0.35,0.06,870.0,air,620.0,530.0,450.0,20.0,59.8,99.2,,31.9,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0069_62,EMK0069,EMK_spec,0.2,1.225,0.3,0.25,0.5,0.26,0.1,0.35,0.06,870.0,air,620.0,550.0,485.0,20.0,55.7,131.3,,34.2,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0070_63,EMK0070,EMK_spec,0.08,2.0,19.0,,9.5,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,56.1,127.8,,33.3,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0071_64,EMK0071,EMK_spec,0.07,2.0,19.0,,9.5,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,50.3,99.5,,33.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0072_65,EMK0072,EMK_spec,0.04,2.0,18.75,,10.5,1.0,0.0,,,1050.0,water,,485.0,170.0,28.0,59.9,136.0,,27.5,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0073_66,EMK0073,EMK_spec,0.2,2.0,23.0,,13.5,1.0,0.0,,,1040.0,air,480.0,515.0,205.0,28.0,50.9,104.8,,30.9,pretrain,emk_spec_verified,stainless_PH
emk_EMK0074_67,EMK0074,EMK_spec,0.08,2.0,25.0,,20.5,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,58.8,138.9,,30.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0075_68,EMK0075,EMK_spec,0.08,2.0,17.0,,12.0,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,59.6,117.5,,32.3,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0076_69,EMK0076,EMK_spec,0.255,2.0,17.0,,12.0,1.0,0.0,,,1040.0,air,480.0,515.0,205.0,28.0,58.4,139.5,,30.6,pretrain,emk_spec_verified,stainless_PH
emk_EMK0077_70,EMK0077,EMK_spec,0.04,2.0,17.0,,12.0,1.0,0.0,,,1050.0,water,,485.0,170.0,28.0,56.6,88.5,,27.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0078_71,EMK0078,EMK_spec,0.08,2.0,19.0,3.5,13.0,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,41.0,114.8,,30.3,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0079_72,EMK0079,EMK_spec,0.035,2.0,19.0,3.5,13.0,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,48.0,88.8,,31.3,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0080_73,EMK0080,EMK_spec,0.08,2.0,18.0,,10.5,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,59.8,100.6,,32.2,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0081_74,EMK0081,EMK_spec,2.05,2.0,18.0,,10.5,1.0,0.0,,,1040.0,air,480.0,515.0,205.0,28.0,45.7,89.2,,32.4,pretrain,emk_spec_verified,stainless_PH
emk_EMK0082_75,EMK0082,EMK_spec,0.08,2.0,18.5,,10.5,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,40.5,103.5,,32.4,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0083_76,EMK0083,EMK_spec,0.07,2.0,18.0,,10.5,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,45.3,94.4,,30.7,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0084_77,EMK0084,EMK_spec,0.08,2.0,18.0,,10.0,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,57.0,145.3,,31.4,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0086_79,EMK0086,EMK_spec,0.02,2.0,21.0,4.5,25.5,1.0,0.0,,,1050.0,water,,490.0,220.0,28.0,44.2,115.2,,28.7,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0087_80,EMK0087,EMK_spec,0.02,1.0,20.0,6.25,18.0,0.8,0.0,,,1050.0,water,,650.0,300.0,28.0,29.5,32.3,,45.4,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0088_81,EMK0088,EMK_spec,0.03,2.0,19.0,4.5,15.5,1.0,0.0,,,1050.0,water,,515.0,205.0,28.0,51.2,93.6,,30.8,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0089_82,EMK0089,EMK_spec,0.03,2.0,18.5,4.5,15.5,1.0,0.0,,,1050.0,water,,550.0,240.0,28.0,49.1,138.9,,35.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0090_83,EMK0090,EMK_spec,0.01,0.75,26.25,1.125,0.5,0.4,0.0,0.2,,,,,450.0,275.0,20.0,42.4,97.5,,23.5,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0091_84,EMK0091,EMK_spec,0.06,0.75,26.0,1.125,0.5,0.75,0.0,0.2,,,,,470.0,310.0,20.0,56.6,134.2,,28.2,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0092_85,EMK0092,EMK_spec,0.15,1.0,12.5,,0.5,1.0,0.0,,,,,,485.0,205.0,20.0,59.9,100.7,,29.3,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0093_86,EMK0093,EMK_spec,0.12,1.0,15.0,,0.5,0.75,0.0,,,,,,415.0,240.0,20.0,40.4,147.2,,20.4,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0094_87,EMK0094,EMK_spec,0.12,1.0,17.0,,0.5,1.0,0.0,,,,,,450.0,240.0,20.0,56.4,100.4,,26.2,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0095_88,EMK0095,EMK_spec,0.1,1.0,17.75,,0.75,1.0,0.0,,,,,,415.0,240.0,20.0,53.6,99.8,,22.3,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0096_89,EMK0096,EMK_spec,0.2,1.5,25.0,,0.5,0.75,0.0,,,1000.0,oil,650.0,485.0,275.0,18.0,56.4,103.0,,27.9,pretrain,emk_spec_verified,stainless_martensitic
emk_EMK0097_90,EMK0097,EMK_spec,0.03,2.0,22.0,3.0,5.5,1.0,0.0,,,1020.0,water,,620.0,450.0,20.0,27.9,65.1,,43.1,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0098_91,EMK0098,EMK_spec,0.04,5.0,21.5,0.45,1.525,1.0,0.0,0.45,,1020.0,water,,650.0,450.0,,38.3,74.6,,46.0,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0099_92,EMK0099,EMK_spec,0.03,2.0,22.5,3.25,5.5,1.0,0.0,,,1020.0,water,,655.0,450.0,20.0,28.5,70.2,,47.0,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0100_93,EMK0100,EMK_spec,0.03,2.0,22.75,0.45,1.5,1.0,0.0,,,1020.0,water,,650.0,450.0,,20.6,75.8,,43.7,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0101_94,EMK0101,EMK_spec,0.03,2.0,27.5,1.75,4.35,0.6,0.0,,,1020.0,water,,690.0,485.0,15.0,21.8,33.1,,48.1,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0102_95,EMK0102,EMK_spec,0.03,1.2,25.0,4.0,7.0,0.8,0.0,0.5,,1050.0,water,,800.0,550.0,15.0,31.6,36.0,,60.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0103_96,EMK0103,EMK_spec,0.03,1.0,25.0,3.5,7.0,1.0,0.0,0.75,,1050.0,water,,750.0,550.0,25.0,36.3,71.3,,54.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0104_97,EMK0104,EMK_spec,0.04,1.5,25.5,3.4,5.5,1.0,0.0,2.0,,1020.0,water,,760.0,550.0,15.0,27.1,54.5,,56.8,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0105_98,EMK0105,EMK_spec,0.03,1.0,25.0,3.0,7.0,0.8,0.0,0.5,,1050.0,water,,800.0,550.0,15.0,34.4,78.0,,59.4,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0106_99,EMK0106,EMK_spec,0.08,1.0,12.5,,0.6,1.0,0.0,,,,,,415.0,205.0,22.0,45.6,110.1,,22.8,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0107_100,EMK0107,EMK_spec,0.05,0.75,12.75,0.75,4.5,0.03,0.0,,,1020.0,water,,760.0,620.0,15.0,27.8,36.0,,56.1,pretrain,emk_spec_verified,stainless_duplex
emk_EMK0111_104,EMK0111,EMK_spec,0.15,0.455,0.655,0.545,,0.2,0.0,,,870.0,air,620.0,380.0,205.0,20.0,43.3,101.7,,21.8,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0112_105,EMK0112,EMK_spec,0.15,0.45,5.0,0.55,0.5,0.5,0.0,,,870.0,air,620.0,415.0,205.0,20.0,57.9,92.1,,21.0,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0113_106,EMK0113,EMK_spec,0.15,0.45,5.0,0.55,,1.5,0.0,,,870.0,air,620.0,415.0,205.0,20.0,47.0,149.4,,20.9,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0114_107,EMK0114,EMK_spec,0.12,0.45,5.0,0.55,,0.5,0.0,,,870.0,air,620.0,415.0,205.0,20.0,55.3,110.9,,22.4,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0115_108,EMK0115,EMK_spec,0.15,0.45,9.0,1.0,,0.625,0.0,,,870.0,air,620.0,415.0,205.0,20.0,44.2,138.3,,22.3,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0116_109,EMK0116,EMK_spec,0.1,0.45,1.25,0.545,,0.75,0.0,,,870.0,air,620.0,415.0,205.0,20.0,43.4,144.4,,22.3,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0117_110,EMK0117,EMK_spec,0.1,0.455,1.025,0.545,,0.5,0.0,,,870.0,air,620.0,415.0,220.0,20.0,50.6,103.2,,23.4,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0119_112,EMK0119,EMK_spec,0.1,0.45,3.0,0.93,,0.5,0.0,,,870.0,air,620.0,415.0,205.0,20.0,57.5,113.7,,20.2,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0120_113,EMK0120,EMK_spec,0.1,0.45,2.25,1.0,,0.5,0.02,,,870.0,air,620.0,415.0,205.0,20.0,55.3,129.9,,21.0,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0121_114,EMK0121,EMK_spec,0.07,0.35,2.25,0.175,0.4,0.5,0.25,,0.03,870.0,air,620.0,510.0,400.0,15.0,50.3,147.5,,32.2,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0122_115,EMK0122,EMK_spec,0.075,0.5,2.4,1.0,,0.3,0.25,,0.02,870.0,air,620.0,415.0,205.0,20.0,52.1,131.8,,23.1,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0124_116,EMK0124,EMK_spec,0.1,0.45,8.75,0.95,0.4,0.35,0.215,,0.02,870.0,air,620.0,585.0,415.0,13.0,52.0,140.4,,40.1,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0125_117,EMK0125,EMK_spec,0.1,0.45,9.0,0.45,0.4,0.5,0.2,,0.02,870.0,air,620.0,620.0,440.0,13.0,24.1,61.1,,42.7,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0126_118,EMK0126,EMK_spec,0.105,0.7,10.75,0.425,0.5,0.5,0.225,1.0,0.02,,,,620.0,400.0,13.0,27.3,50.4,,41.8,pretrain,emk_spec_verified,stainless_ferritic
emk_EMK0127_119,EMK0127,EMK_spec,0.11,0.45,9.0,1.0,0.4,0.3,0.215,,0.02,870.0,air,620.0,620.0,440.0,13.0,20.4,43.8,,41.5,pretrain,emk_spec_verified,low_alloy_normalized
emk_EMK0128_120,EMK0128,EMK_spec,0.08,2.0,19.0,,9.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,40.3,119.8,,31.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0129_121,EMK0129,EMK_spec,0.08,2.0,19.0,,9.5,1.0,0.0,,,1050.0,water,,550.0,240.0,25.0,40.1,119.5,,37.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0130_122,EMK0130,EMK_spec,0.08,2.0,23.0,0.75,13.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,48.0,144.2,,30.2,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0131_123,EMK0131,EMK_spec,0.07,2.0,23.0,,13.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,45.5,83.6,,33.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0132_124,EMK0132,EMK_spec,0.07,2.0,19.0,,9.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,42.6,119.3,,30.4,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0133_125,EMK0133,EMK_spec,0.04,2.0,19.0,,10.5,1.0,0.0,,,1050.0,water,,485.0,170.0,25.0,57.6,134.4,,28.0,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0134_126,EMK0134,EMK_spec,0.03,2.0,19.0,,10.0,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,45.8,126.2,,33.4,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0135_127,EMK0135,EMK_spec,0.08,2.0,23.0,,14.0,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,49.2,145.8,,32.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0136_128,EMK0136,EMK_spec,0.07,2.0,23.0,0.75,14.0,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,53.0,138.2,,30.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0137_129,EMK0137,EMK_spec,0.08,2.0,25.0,0.75,20.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,45.1,90.2,,32.7,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0138_130,EMK0138,EMK_spec,0.07,2.0,25.0,,20.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,48.1,134.2,,30.2,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0139_131,EMK0139,EMK_spec,0.08,2.0,25.0,0.75,20.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,58.5,89.1,,29.5,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0140_132,EMK0140,EMK_spec,0.07,2.0,25.0,0.75,20.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,53.6,110.6,,30.3,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0141_133,EMK0141,EMK_spec,0.08,2.0,17.0,2.5,12.0,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,55.8,132.4,,30.5,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0142_134,EMK0142,EMK_spec,0.04,2.0,17.0,2.5,12.0,1.0,0.0,,,1050.0,water,,485.0,170.0,25.0,45.3,145.1,,27.7,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0143_135,EMK0143,EMK_spec,0.07,2.0,17.0,2.5,12.0,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,51.8,82.1,,31.2,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0144_136,EMK0144,EMK_spec,0.08,2.0,17.0,2.5,12.0,0.75,0.0,,,1050.0,water,,515.0,205.0,25.0,58.3,132.0,,31.6,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0145_137,EMK0145,EMK_spec,0.08,2.0,17.0,2.5,12.0,1.0,0.0,,,1050.0,water,,550.0,240.0,25.0,57.9,113.2,,34.2,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0146_138,EMK0146,EMK_spec,0.04,2.0,17.0,2.5,12.0,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,40.9,89.5,,30.9,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0147_139,EMK0147,EMK_spec,0.08,2.0,19.0,3.5,12.5,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,40.8,130.9,,30.8,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0148_140,EMK0148,EMK_spec,0.035,2.0,19.0,3.5,13.0,1.0,0.0,,,1050.0,water,,515.0,205.0,25.0,52.9,91.0,,30.1,pretrain,emk_spec_verified,stainless_austenitic
emk_EMK0149_141,EMK0149,EMK_spec,0.08,2.0,18.0,,10.5,1.0,0.0,,,1050.0,water,,515.0,205.0,35.0,41.1,94.5,,29.6,pretrain,emk_spec_verified,stainless_austenitic
